"Model","Dataset","ROC_AUC","Best_Threshold_Val","Recall","Precision","F1","F2"
"rpart","train",0.811,0.3,0.6219,1,0.7669,0.6728
"rpart","val",0.8075,0.3,0.615,1,0.7616,0.6663
"rpart","test",0.8084,0.3,0.6169,1,0.763,0.6681
"knn","train",0.7486,0.45,0.8759,0.417,0.5651,0.7179
"knn","val",0.6376,0.45,0.7955,0.3735,0.5084,0.6489
"knn","test",0.6315,0.45,0.7884,0.3721,0.5055,0.6442
"rf","train",0.8491,0.45,0.6222,1,0.7671,0.6731
"rf","val",0.8046,0.45,0.615,1,0.7616,0.6663
"rf","test",0.8158,0.45,0.6169,1,0.763,0.6681
"nb","train",0.8136,0.8,0.621,1,0.7662,0.6719
"nb","val",0.8054,0.8,0.615,1,0.7616,0.6663
"nb","test",0.8054,0.8,0.6156,1,0.7621,0.6669
"xgboost","train",0.8507,0.4,0.6219,1,0.7669,0.6728
"xgboost","val",0.8048,0.4,0.615,1,0.7616,0.6663
"xgboost","test",0.8087,0.4,0.6169,1,0.763,0.6681
"glmnet","train",0.8123,0.45,0.6219,1,0.7669,0.6728
"glmnet","val",0.806,0.45,0.615,1,0.7616,0.6663
"glmnet","test",0.8057,0.45,0.6169,1,0.763,0.6681
